brand,model,color,year,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,price_in_euro
isuzu,D-Max,silver,2020,163.0,Automatic,Diesel,5.8,139.0,1622.0,52896.0
audi,A6,silver,2004,170.0,Manual,Petrol,11.0,139.0,162000.0,13500.0
bmw,X1,grey,2017,150.0,Automatic,Diesel,4.7,124.0,60694.0,21998.0
bmw,320,blue,2019,190.0,Automatic,Diesel,4.4,115.0,124868.0,26896.0
ford,Fusion,silver,2005,80.0,Manual,Petrol,6.9,163.0,83000.0,2200.0
fiat,Tipo,red,2019,120.0,Manual,Petrol,7.1,179.0,75159.0,13999.0
audi,A1,black,2020,150.0,Automatic,Petrol,5.1,116.0,27878.0,26380.0
hyundai,i10,silver,2023,67.0,Manual,Petrol,4.7,108.0,400.0,16490.0
bmw,X3,black,2008,286.0,Automatic,Diesel,7.8,208.0,287000.0,9980.0
audi,A1,white,2012,86.0,Manual,Petrol,5.1,121.0,93100.0,10500.0
audi,TT,white,2012,211.0,Manual,Petrol,6.7,159.0,54500.0,22895.0
citroen,C3,green,2019,83.0,Manual,Petrol,5.8,139.0,43985.0,14500.0
audi,A2,silver,2001,75.0,Manual,Petrol,6.0,142.0,220000.0,3950.0
audi,A3,grey,2018,190.0,Automatic,Petrol,5.8,133.0,69766.0,24450.0
audi,A3,red,2020,116.0,Manual,Diesel,4.4,117.0,74000.0,22999.0
ford,Transit Custom,white,2023,131.0,Manual,Diesel,7.5,198.0,10.0,39850.0
bmw,420,grey,2014,184.0,Automatic,Diesel,4.0,106.0,119927.0,18950.0
audi,A3,blue,2023,150.0,Manual,Diesel,4.3,112.0,10.0,39288.0
bmw,X3,brown,2020,190.0,Automatic,Diesel,5.4,141.0,43424.0,39940.0
fiat,Doblo,white,2016,90.0,Manual,Diesel,5.0,133.0,89000.0,12599.0
audi,A3,black,2014,184.0,Automatic,Diesel,4.8,139.0,148000.0,17900.0
kia,Ceed / cee'd,grey,2012,90.0,Manual,Petrol,5.8,137.0,80000.0,8299.0
bmw,120,grey,2018,190.0,Automatic,Diesel,5.1,135.0,110900.0,19750.0
hyundai,i20,brown,2023,101.0,Manual,Petrol,5.0,127.0,120.0,21489.0
ford,Focus,silver,2017,120.0,Semi-automatic,Diesel,3.8,99.0,130840.0,12599.0
bmw,X5 M,grey,2016,381.0,Automatic,Diesel,6.6,175.0,184333.0,29970.0
bmw,530,white,2021,286.0,Automatic,Diesel,4.9,152.0,36336.0,52990.0
bmw,X1,silver,2019,150.0,Manual,Diesel,4.6,120.0,121000.0,21499.0
hyundai,i30,black,2019,275.0,Manual,Petrol,7.8,188.0,19650.0,27188.0
audi,A3,white,2015,179.0,Manual,Petrol,5.8,138.0,77831.0,16670.0
fiat,Tipo,grey,2022,131.0,Manual,Diesel,5.8,127.0,6950.0,24990.0
ford,Transit,white,2013,125.0,Manual,Diesel,8.0,212.0,100000.0,16999.0
kia,Soul,white,2015,132.0,Manual,Petrol,6.5,153.0,54000.0,14490.0
citroen,Berlingo,white,2014,75.0,Manual,Diesel,5.2,138.0,169000.0,6100.0
fiat,500,grey,2020,69.0,Manual,Petrol,5.5,126.0,30998.0,13440.0
fiat,500,white,2015,69.0,Manual,Petrol,5.1,121.0,95672.0,9900.0
bmw,116,black,2008,166.0,Manual,Petrol,6.1,143.0,147079.0,7000.0
ford,Mondeo,black,2021,150.0,Manual,Diesel,4.6,121.0,18719.0,29990.0
ford,Mustang,black,2017,421.0,Automatic,Petrol,12.0,139.0,31000.0,36500.0
bmw,340,grey,2022,374.0,Automatic,Petrol,6.7,155.0,23243.0,61090.0
mazda,6,grey,2007,147.0,Manual,Petrol,8.0,139.0,215000.0,2999.0
audi,A8,black,2016,385.0,Automatic,Diesel,7.5,197.0,172700.0,34790.0
ford,Mustang,green,2019,460.0,Manual,Petrol,5.8,139.0,19380.0,42900.0
bmw,X1,white,2018,192.0,Unknown,Petrol,6.3,146.0,145000.0,22500.0
bmw,X4,silver,2020,252.0,Automatic,Petrol,7.3,167.0,89900.0,43260.0
bmw,125,blue,2013,218.0,Automatic,Diesel,4.9,130.0,149899.0,16950.0
fiat,500C,blue,2022,71.0,Manual,Hybrid,4.8,109.0,99.0,20990.0
land-rover,Land Rover Discovery Sport,red,2019,150.0,Automatic,Diesel,6.4,169.0,87200.0,30350.0
audi,Q5,grey,2023,204.0,Automatic,Diesel,6.6,174.0,4500.0,63880.0
audi,A3,black,2019,150.0,Automatic,Petrol,5.2,117.0,59256.0,23900.0
mazda,CX-5,black,2015,150.0,Manual,Diesel,4.6,122.0,156000.0,12850.0
bmw,316,silver,2001,116.0,Manual,Petrol,6.9,167.0,163800.0,1399.0
dacia,Jogger,black,2022,110.0,Manual,Petrol,5.6,138.0,50.0,23779.0
ford,Mondeo,black,2008,220.0,Manual,Petrol,9.3,139.0,184000.0,6100.0
bmw,335,black,2013,306.0,Automatic,Petrol,9.6,205.0,58650.0,38890.0
ford,S-Max,black,2013,200.0,Automatic,Diesel,6.4,188.0,103000.0,19970.0
hyundai,KONA,grey,2019,204.0,Automatic,Electric,5.8,0.0,46000.0,29990.0
dodge,RAM,grey,2021,401.0,Automatic,LPG,5.8,135.0,10900.0,56999.0
bmw,118,black,2015,150.0,Manual,Diesel,4.7,125.0,209010.0,10950.0
ford,Ranger,orange,2021,212.0,Automatic,Diesel,7.8,207.0,30235.0,40980.0
ford,Mustang,red,2018,421.0,Automatic,Petrol,12.0,139.0,19100.0,38900.0
kia,Sportage,blue,2017,132.0,Manual,Petrol,6.7,156.0,128092.0,14900.0
audi,TT,blue,2017,230.0,Automatic,Petrol,6.9,158.0,31560.0,34411.0
audi,A5,white,2013,245.0,Automatic,Diesel,5.9,154.0,144939.0,20750.0
kia,XCeed,gold,2023,160.0,Automatic,Petrol,6.4,144.0,20.0,31990.0
audi,A6,black,2017,190.0,Manual,Diesel,4.4,139.0,177358.0,18600.0
bmw,X1,white,2012,143.0,Automatic,Diesel,6.2,164.0,195832.0,12790.0
ford,Fiesta,grey,2021,125.0,Manual,Petrol,4.0,139.0,15250.0,18675.0
audi,A3,silver,2021,110.0,Manual,Petrol,5.8,125.0,8651.0,26950.0
ford,Focus C-Max,silver,2005,101.0,Manual,Petrol,6.6,139.0,121290.0,4500.0
audi,RS3,red,2022,400.0,Automatic,Petrol,8.2,188.0,12000.0,62500.0
bmw,530,black,2017,265.0,Automatic,Diesel,5.3,140.0,77400.0,36800.0
audi,A4,grey,2014,177.0,Manual,Diesel,4.8,139.0,99890.0,16990.0
hyundai,i30,grey,2015,135.0,Manual,Petrol,5.9,133.0,80500.0,12490.0
hyundai,H-1,white,2010,170.0,Manual,Diesel,8.5,225.0,166000.0,9999.0
hyundai,i30,black,2012,109.0,Manual,Petrol,6.1,139.0,81000.0,6500.0
mazda,CX-3,red,2019,150.0,Automatic,Petrol,5.8,152.0,85570.0,21000.0
kia,Ceed SW / cee'd SW,silver,2022,101.0,Manual,Petrol,5.8,132.0,13356.0,21190.0
